"Date Begin","Date End",Opt-Top,Opt-Mid,Opt_Bot,IR-Top,IR-Mid,IR-Bot
2025-07-08," ",HSC-r2,NB816,EB-gri,HSC-g,HSC-z,HSC-i2
2025-04-28,2025-07-08,NB395,NB430,EB-gri,HSC-g,HSC-z,HSC-r2
2025-04-16,2025-04-28,NB656,NB816,NB872,HSC-g,HSC-z,HSC-r2
2025-02-27,2025-04-16,NB395,NB515,NB872,HSC-g,HSC-z,HSC-i2
2025-02-10,2025-02-27,HSC-r2,NB816,HSC-Y,HSC-g,HSC-z,HSC-i2
2024-12-11,2025-02-10,HSC-g,NB816,NB926,NB872,HSC-z,HSC-r2
2024-11-15,2024-12-11,EB-gri,NB515,NB527,HSC-g,HSC-i2,HSC-r2
2024-09-18,2024-11-15,NB395,NB515,HSC-g,HSC-z,HSC-i2,HSC-r2
2024-07-22,2024-09-18," N/A",EB-gri,HSC-z,HSC-g,HSC-i2,HSC-r2
2024-07-03,2024-07-22," N/A"," N/A"," N/A",HSC-g,HSC-i2,HSC-z
2024-06-27,2024-07-03,NB497,NB872,HSC-r2,HSC-g,HSC-i2,HSC-z
2024-05-31,2024-06-27,EB-gri,NB872,HSC-g,HSC-r2,HSC-i2,HSC-z
2024-04-11,2024-05-31,NB656,NB718,NB816,HSC-r2,HSC-i2,HSC-z
2024-03-20,2024-04-11,NB395,NB872,HSC-g,HSC-r2,HSC-i2,HSC-z
2024-02-07,2024-03-20,SH,NB497,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-09-12,2024-02-07,NB515,NB497,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-08-29,2023-09-12,EB-gri,NB816,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-08-15,2023-08-29,NB872,NB816,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-07-27,2023-08-15,NB497,NB506,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-06-15,2023-07-27,NB497,HSC-Y,HSC-g,HSC-r2,HSC-i2,HSC-z
2023-06-06,2023-06-15,EB-gri,NB656,NB718,HSC-r2,HSC-i2,HSC-z
2023-05-04,2023-06-06,NB921,NB872,HSC-r2,HSC-g,HSC-i2,HSC-z
2023-03-20,2023-05-04,NB497,HSC-Y,HSC-r2,HSC-g,HSC-i2,HSC-z
2023-03-06,2023-03-20,EB-gri,NB921,HSC-r2,HSC-g,HSC-i2,HSC-z
2023-01-18,2023-03-06,NB391,NB395,NB718,HSC-g,HSC-r2,HSC-z
2023-01-05,2023-01-18,HSC-i2,NB506,NB515,HSC-g,HSC-r2,HSC-z
2022-12-29,2023-01-05,HSC-z,NB506,NB515,HSC-g,HSC-r2,HSC-i2
2022-10-24,2022-12-29,HSC-z,NB497,HSC-g,NB921,HSC-r2,HSC-i2
2022-08-17,2022-10-24,EB-gri,NB816,HSC-g,NB921,HSC-r2,HSC-i2
2022-06-21,2022-08-17,HSC-r2,HSC-g,HSC-z,NB497,NB656,HSC-i2
2022-05-19,2022-06-21,HSC-r2,HSC-g,HSC-z,NB718,NB656,HSC-i2
2022-04-07,2022-05-19,HSC-r2,HSC-g,HSC-z,NB395,NB656,HSC-i2
2021-10-18,2022-04-07,HSC-r2,HSC-g,HSC-z,NB497,HSC-Y,HSC-i2
2021-09-17,2021-10-18,HSC-r2,HSC-g,HSC-z,NB395,HSC-Y,HSC-i2
2021-08-17,2021-09-17,NB395,HSC-g,NB527,HSC-r2,HSC-Y,HSC-i2
2021-06-21,2021-08-17,SH,HSC-r2,NB527,HSC-g,HSC-z,HSC-i2
2021-06-01,2021-06-21,NB527,HSC-r2,HSC-Y,HSC-g,HSC-z,HSC-i2
2021-04-20,2021-06-01,NB527,HSC-z,HSC-Y,HSC-g,HSC-r2,HSC-i2
2021-03-01,2021-04-20,NB515,HSC-z,HSC-Y,HSC-g,HSC-r2,HSC-i2
2021-01-28,2021-03-01,NB515,HSC-g,HSC-Y,HSC-z,HSC-r2,HSC-i2
2020-11-27,2021-01-28,NB430,HSC-g,HSC-Y,HSC-z,HSC-r2,HSC-i2
2020-07-17,2020-11-27,NB816,HSC-g,HSC-Y,HSC-z,HSC-r2,HSC-i2
2020-06-15,2020-07-17,NB816,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2020-05-14,2020-06-15,NB921,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2020-03-11,2020-05-14,NB400,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2020-02-18,2020-03-11,NB926,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2020-01-15,2020-02-18,NB468,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-12-12,2020-01-15,NB926,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-11-14,2019-12-12,NB400,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-10-17,2019-11-14,NB816,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-09-25,2019-10-17,NB515,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-09-12,2019-09-25,SH,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-05-20,2019-09-12,NB527,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2019-04-16,2019-05-20,NB921,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2019-03-22,2019-04-16,NB816,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2019-02-21,2019-03-22,NB387,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2019-02-06,2019-02-21,SH,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2018-01-17,2019-02-06,NB0816,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2018-12-21,2018-01-17,NB1010,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2018-12-19,2018-12-21,NB921,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2018-11-30,2018-12-19,IB945,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2018-10-12,2018-11-30,NB921,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2018-09-12,2018-10-12,NB527,HSC-r2,HSC-g,HSC-Y,HSC-z,HSC-i2
2018-05-23,2018-09-12,SH,HSC-r2,HSC-g,HSC-Y,HSC-z,HSC-i2
